time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,mag_x,mag_y,mag_z
18:28.3,-0.019493968,0.088652482,9.907953418,0.030318364,-0.0454046,0.139989361,-0.074204947,6.170818505,6.245901639
18:28.3,-0.028908684,0.069739953,9.947476421,0.046012617,-0.015134867,0.04666312,-0.070671378,6.167259786,6.254098361
18:28.3,-0.038890776,0.107565012,9.898148328,-0.076636735,0.030269734,0.139989361,-0.081272085,6.167259786,6.25
18:28.3,-0.019683093,0.107565012,9.897956251,0.17095513,0.166483535,0.202206855,-0.06360424,6.170818505,6.258196721
18:28.3,-0.01036294,0.135933806,9.985868755,-0.031847138,-0.105944068,0.139989361,-0.067137809,6.167259786,6.25
18:28.3,-0.029097809,0.088652482,9.898239524,0.061401115,-0.015134867,0.186652481,-0.077738516,6.163701068,6.25
18:28.3,-0.019399405,0.079196217,9.957096698,-0.091566601,0.075674334,0.093326241,-0.074204947,6.170818505,6.254098361
18:28.3,-0.038607088,0.079196217,9.947478842,0.12219072,-0.090809201,0.093326241,-0.074204947,6.167259786,6.254098361
18:28.3,-0.04858918,0.117021277,9.89815075,0.2760757,-0.090809201,0.04666312,-0.088339223,6.163701068,6.25
18:28.3,-0.009795564,0.079196217,9.937380794,0.230521715,-0.030269734,-0.015554373,-0.067137809,6.170818505,6.254098361
18:28.4,-0.019872218,0.126477541,9.90757895,0.230674593,-0.015134867,0.04666312,-0.070671378,6.160142349,6.245901639
18:28.4,-0.038796214,0.098108747,9.91786181,0.168814846,-0.0454046,0.108880614,-0.070671378,6.163701068,6.258196721
18:28.4,-0.019777656,0.117021277,9.937102365,0.168203336,-0.105944068,0.139989361,-0.09540636,6.163701068,6.258196721
18:28.4,-0.04821093,0.079196217,9.94757488,0.046012617,-0.015134867,-0.062217494,-0.077738516,6.163701068,6.258196721
18:28.4,-0.058003897,0.098108747,9.957293617,0.015388498,0,0.031108747,-0.074204947,6.167259786,6.262295082
18:28.4,-0.077306142,0.107565012,9.977011942,-0.07633098,0.060539467,0.202206855,-0.070671378,6.163701068,6.245901639
18:28.4,-0.010079252,0.107565012,9.917480078,-0.045095352,0.105944068,0.108880614,-0.074204947,6.160142349,6.25
18:28.4,-0.04821093,0.079196217,9.937764948,0.246063091,-0.015134867,-0.015554373,-0.074204947,6.170818505,6.254098361
18:28.4,-0.058193022,0.117021277,9.947296451,0.21559185,0.015134867,0.093326241,-0.070671378,6.167259786,6.258196721
18:28.4,-0.029381497,0.117021277,9.956818268,0.123107984,0,0.326641842,-0.067137809,6.163701068,6.245901639
18:28.5,-0.058193022,0.117021277,9.976726248,0.292228585,-0.015134867,0.171098108,-0.074204947,6.167259786,6.254098361
18:28.5,-0.067702301,0.107565012,9.869006646,-0.030318364,0.0454046,0.077771867,-0.067137809,6.170818505,6.25
18:28.5,-0.058003897,0.098108747,9.908243955,-0.015388498,0,0.062217494,-0.070671378,6.167259786,6.254098361
18:28.5,-0.057909334,0.088652482,9.957387234,-0.00061151,-0.060539467,0.077771867,-0.067137809,6.170818505,6.254098361
18:28.5,-0.067418613,0.079196217,9.95757689,0.108178118,0.0454046,0.077771867,-0.070671378,6.170818505,6.25
18:28.5,-0.048116367,0.069739953,9.937858565,-0.000458632,-0.0454046,0.062217494,-0.070671378,6.174377224,6.25
